Lioneer/TV/Small  	30  	30  	30  	30  	90  	30  	30  	90  	30  	30  	90  	30  	30  	90  	30  	30  
Lioneer/TV/Medium 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 
Lioneer/TV/Large 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 
Lioneer/DVD/Small 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 
Lioneer/DVD/Medium 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 
Lioneer/DVD/Large 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 
Lioneer/Audio/Small 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 
Lioneer/Audio/Medium 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 
Lioneer/Audio/Large 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 
PG/TV/Small 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 
PG/TV/Medium 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 
PG/TV/Large 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 
PG/DVD/Small 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 
PG/DVD/Medium 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 
PG/DVD/Large 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 
PG/Audio/Small 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 
PG/Audio/Medium 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 
PG/Audio/Large 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 
Flat/TV/Small 	30 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 
Flat/TV/Medium 	40 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 
Flat/TV/Large 	50 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 
Flat/DVD/Small 	30 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 
Flat/DVD/Medium 	40 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 
Flat/DVD/Large 	50 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 
Flat/Audio/Small 	30 	30 	30 	30 	30 	30 	90 	30 	30 	90 	30 	30 	90 	30 	30 	90 
Flat/Audio/Medium 	40 	40 	40 	40 	40 	40 	120 	40 	40 	120 	40 	40 	120 	40 	40 	120 
Flat/Audio/Large 	50 	50 	50 	50 	50 	50 	150 	50 	50 	150 	50 	50 	150 	50 	50 	150 
